block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010204002001,001,99999,05,21,25,127,55
370010204002002,001,99999,05,21,25,127,58
370010204002003,001,09060,05,21,25,127,9
370010204002004,001,09060,05,21,25,127,21
370010204002005,001,09060,05,21,25,127,9
370010204002006,001,09060,05,21,25,127,2
370010204002007,001,09060,05,21,25,127,3
370010204002008,001,09060,05,21,25,127,13
370010204002009,001,99999,05,21,25,127,28
370010204002010,001,09060,05,21,25,127,34
370010204002011,001,09060,05,21,25,127,0
370010204002012,001,09060,05,21,25,127,12
370010204002013,001,09060,05,21,25,127,37
370010204002014,001,09060,05,21,25,127,13
370010204002015,001,09060,05,21,25,127,31
370010204002016,001,09060,05,21,25,127,39
370010204002017,001,09060,05,21,25,127,24
370010204002018,001,09060,05,21,25,127,94
370010204002019,001,09060,05,21,25,127,28
370010204002020,001,09060,05,21,25,127,22
370010204003000,001,99999,05,21,25,12N,46
370010204003001,001,99999,05,21,25,12N,126
370010204003002,001,99999,05,21,25,12N,115
370010204003003,001,99999,05,21,25,12N,0
370010204003004,001,09060,05,21,25,12N,2
370010204003005,001,09060,05,21,25,12N,0
370010204003006,001,09060,05,21,25,12N,16
370010204003007,001,09060,05,21,25,12N,2
370010204003008,001,09060,05,21,25,12N,0
370010204003009,001,09060,05,21,25,12N,19
370010204003010,001,09060,05,21,25,12N,101
370010204003011,001,09060,05,21,25,12N,65
370010204003012,001,09060,05,21,25,12N,21
370010204003013,001,09060,05,21,25,12N,88
370010204003014,001,09060,05,21,25,12N,12
370010204003015,001,09060,05,21,25,12N,0
370010204003016,001,09060,05,21,25,12N,67
370010204003017,001,09060,05,21,25,12N,23
370010204003018,001,09060,05,21,25,12N,111
370010204003019,001,09060,05,21,25,12N,32
370010204003020,001,09060,05,21,25,12N,40
370010204004000,001,09060,05,21,25,12N,26
370010204004001,001,09060,05,21,25,12N,33
370010204004002,001,09060,05,21,25,12N,19
370010204004003,001,09060,05,21,25,12N,75
370010204004004,001,09060,05,21,25,12N,16
370010204004005,001,09060,05,21,25,12N,36
370010204004006,001,09060,05,21,25,12N,42
370010204004007,001,09060,05,21,25,12N,12
370010204004008,001,09060,05,21,25,12N,5
370010204004009,001,09060,05,21,25,12N,12
370010204004010,001,09060,05,21,25,12N,0
370010204004011,001,09060,05,21,25,12N,11
370010204004012,001,09060,05,21,25,12N,17
370010204004013,001,09060,05,21,25,12N,59
370010204004014,001,09060,05,21,25,12N,10
370010204004015,001,09060,05,21,25,12N,21
370010204004016,001,09060,05,21,25,12N,20
370010204004017,001,09060,05,21,25,12N,15
370010204004018,001,09060,05,21,25,12N,35
370010204004019,001,09060,05,21,25,12N,6
370010204004020,001,09060,05,21,25,12N,12
370010204004021,001,09060,05,21,25,12N,28
370010204004022,001,09060,05,21,25,12N,0
370010204004023,001,09060,05,21,25,12N,4
370010204004024,001,09060,05,21,25,12N,32
370010204004025,001,09060,05,21,25,12N,3
370010204004026,001,09060,05,21,25,12N,0
370010204004027,001,09060,05,21,25,12N,7
370010204005000,001,09060,05,21,25,127,159
370010204005001,001,09060,05,21,25,127,15
370010204005002,001,09060,05,21,25,127,101
370010204005003,001,09060,05,21,25,127,59
370010204005004,001,09060,05,21,25,127,31
370010204005005,001,09060,05,21,25,127,85
370010204005006,001,09060,05,21,25,127,36
370010204005007,001,09060,05,21,25,127,7
370010204005008,001,09060,05,21,25,127,143
370010204005009,001,09060,05,21,25,127,25
370010204005010,001,09060,05,21,25,127,16
370010204005011,001,09060,05,21,25,127,2
370010204005012,001,09060,05,21,25,127,24
370010204005013,001,09060,05,21,25,127,45
370010204005014,001,09060,05,21,25,127,0
370010204005015,001,09060,05,21,25,127,18
370010204005016,001,09060,05,21,25,127,39
370010204005017,001,09060,05,21,25,127,4
370010204005018,001,09060,05,21,25,127,32
370010204005019,001,09060,05,21,25,127,29
370010204005020,001,09060,05,21,25,127,30
370010204005021,001,09060,05,21,25,127,6
370010204006000,001,09060,05,21,25,12N,127
370010204006001,001,09060,05,21,25,12N,39
370010204006002,001,09060,05,21,25,12N,25
370010204006003,001,09060,05,21,25,12N,15
370010204006004,001,09060,05,21,25,12N,60
