sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
CALDWELL - PR014,CALDWELL - 6,1997,70,1997,1.0
CALDWELL - PR015,CALDWELL - 12,2872,148,2872,1.0
CALDWELL - PR016,CALDWELL - 13,6841,217,6841,1.0
CALDWELL - PR017,CALDWELL - 14,4779,106,4779,1.0
CALDWELL - PR018,CALDWELL - 15,3111,70,3111,1.0
CAMDEN - CH,CAMDEN - CH,2894,95,2894,1.0
CAMDEN - SH,CAMDEN - SH,1967,49,1967,1.0
CAMDEN - SM,CAMDEN - SM,3026,84,3026,1.0
CARTERET - ABCH,CARTERET - ABCH,1313,105,1313,1.0
CARTERET - ASCI,CARTERET - ASCI,961,172,961,1.0
CARTERET - ASCI,CARTERET - DASW,0,2,961,0.0
CARTERET - BCRK,CARTERET - BCRK,2047,55,2047,1.0
CARTERET - BFT1,CARTERET - BFT1,1559,145,1559,1.0
